order_id,customer_id,restaurant_id,order_time,delivery_time,customer_location,restaurant_location,order_value,rating
O425q41nQ,C5522,R5484,4/5/2022,2/3/2022,Apt 27,7th Floor,72.33,
O144a15fI,C6133,R3387,,3/15/2022,Apt 1650,,,
O675n55nG,C6484,R8765,6/24/2022,6/3/2022,Apt 1080,,66.89,
O154h67nK,C0717,R8298,,,Suite 63,,28.7,
O077g05dO,C2235,R3742,,,PO Box 84795,,,
O468y78iO,,,,10/26/2022,15th Floor,,86.34,
O365j96mS,C3328,R2930,7/4/2022,12/23/2022,6th Floor,,,
O812b42sX,,R0989,6/28/2022,,PO Box 52862,,,
O115h68uB,C1986,,5/25/2022,,Room 1294,,30.95,
O657x96wU,C9166,,,9/22/2022,4th Floor,Room 1549,,2.8
O753j58fI,C9525,,9/9/2022,,12th Floor,,,
O206c25jL,C5655,,2/27/2022,9/19/2022,7th Floor,Suite 26,,
O383m49lG,,R6744,,,Suite 88,Room 1973,,1.6
O578p07bM,C0142,,10/2/2022,5/28/2022,20th Floor,,,
O995m22kJ,,R9886,11/14/2022,7/3/2022,Suite 44,Apt 1891,,
O278a35uE,,,6/20/2022,3/28/2022,Suite 93,PO Box 35604,,
O438m22uI,,R8215,10/22/2022,1/20/2022,PO Box 70137,7th Floor,,
O592p00gL,,R5111,6/19/2022,8/17/2022,Suite 17,,,
O323b93gL,,,,,Suite 45,,,
O241p50aL,C1283,,5/26/2022,,Suite 42,Apt 361,,
O840o14qZ,,,8/15/2022,,Room 1201,Apt 215,51.91,
O077q55gH,C9726,R4391,12/21/2022,8/17/2022,Apt 972,PO Box 75847,8.33,
O411y32sJ,,,8/15/2022,1/2/2022,Suite 75,Suite 26,,
O973d99xG,C4580,R1037,,1/24/2022,PO Box 11680,7th Floor,61.21,
O642i58cM,,,4/24/2022,11/25/2022,PO Box 86887,10th Floor,,
O459o75tX,,,,,Room 1378,PO Box 90234,,
O450p96vQ,C1290,R2944,,,Apt 971,,,1.4
O184y38uX,,,4/2/2022,,Room 999,,,
O244b19vS,,,,12/13/2022,16th Floor,,,
O234p07lB,C1915,R2356,,12/11/2022,PO Box 15122,,,
O952r41nK,C8154,,2/21/2022,,Suite 8,8th Floor,,
O806s66kT,,R0115,6/30/2022,,Suite 12,Apt 1264,,
O570e75pF,C5824,R9031,9/1/2022,6/16/2022,13th Floor,Suite 26,,
O507v12wH,C2735,,10/7/2022,,Room 759,9th Floor,,
O723c03vX,,R6158,,,Room 620,,,
O172o16qP,C3737,R8497,1/6/2022,,Room 1583,PO Box 88914,39.08,
O805j73pO,,R1348,7/2/2022,,PO Box 74607,Suite 41,,
O435h43vD,C3263,,5/27/2022,,PO Box 17431,,,
O295f78nV,,,,,PO Box 71898,PO Box 18526,,
O881e20jY,,R9812,,9/16/2022,3rd Floor,,,
O866p53fL,C3698,,8/15/2022,,Suite 94,PO Box 22024,,
O344g44tM,,,,6/22/2022,Apt 1755,,58.41,
O953q82wB,C0139,,,,Suite 87,Apt 169,,
O871d24gP,,R8115,11/30/2022,11/28/2022,Room 1033,,,
O140m58mU,,R5782,,,Room 144,PO Box 72599,,3.9
O333k98nV,C7737,,5/6/2022,,Room 300,10th Floor,71.6,
O758h33eW,C1738,,2/14/2022,,15th Floor,,64.71,
O715q08cI,,R1997,,,Apt 476,PO Box 10915,,
O496w80eJ,,R0908,10/27/2022,2/11/2022,Suite 25,,,
O967h34nD,C4445,,1/15/2022,,13th Floor,,,3.4
O844t10mG,,R2468,,,Suite 28,12th Floor,,
O465z37jU,,R4432,1/1/2022,,Suite 56,Suite 23,,2.8
O557w50yL,C0512,,4/6/2022,,Suite 39,,,
O798a46mC,,R5477,5/17/2022,,Apt 375,,,
O790q48tR,,,11/23/2022,,Room 1853,,,
O986c76dI,,R2517,,9/29/2022,Room 1661,Room 1259,,
O099g83oV,C5248,R2190,8/19/2022,,Room 1442,,,
O907h29mD,,,3/22/2022,,Suite 6,,,
O192y81cY,C1838,R1852,,,8th Floor,Suite 61,86.09,
O323e80tT,,R8370,4/3/2022,4/19/2022,4th Floor,,,
O554t77cF,C3628,,9/2/2022,5/15/2022,Room 1351,Room 1630,,
O135x80eE,C1838,R7899,,9/5/2022,12th Floor,,46.11,
O977q89uG,,R2000,,,Apt 981,Suite 54,,
O385s22aH,C7571,R0545,7/1/2022,,Apt 672,,,
O634w50zS,,,7/15/2022,3/26/2022,Suite 54,,,
O650e07pJ,C5772,,10/20/2022,9/24/2022,Apt 1685,,,
O481i55kK,C5023,R9401,4/29/2022,,18th Floor,PO Box 19742,,
O621p01nV,,,1/30/2022,,Apt 675,PO Box 47803,,
O421s80tV,,R7376,,,Apt 43,Apt 1051,,
O032h04fV,,,12/15/2022,,Suite 92,,,
O253r00pO,,,,,Room 1279,Apt 655,,
O103l14aK,C9686,R4161,7/10/2022,,Apt 490,18th Floor,,
O840m79uH,,R3005,11/16/2022,,Room 1525,Apt 1528,,
O668g44eN,C0775,R4265,3/13/2022,2/1/2022,Apt 1894,,,
O092d95sZ,C3367,,9/19/2022,8/24/2022,16th Floor,,,3.6
O159v34mX,C9943,,,,5th Floor,,,
O712r40lD,C2090,R8638,1/3/2022,11/11/2022,Apt 383,Apt 1400,,
O866r77uS,C8290,R9644,,,Room 1181,,61.61,3.0
O370o74cL,,R1845,,,Room 1220,,,
O024c58rG,,,,,Apt 324,9th Floor,98.19,
O052q34dC,C4060,,,8/10/2022,Room 1095,,,
O197o71yY,C6293,R5156,,,5th Floor,,,
O815h55xS,C7202,,3/8/2022,,Room 928,PO Box 23739,,3.4
O549j26wB,,,4/7/2022,3/10/2022,11th Floor,PO Box 16785,,
O530r91aA,C9272,R9948,,,13th Floor,Apt 208,,
O527i26xA,C9529,,,,Room 180,,,4.9
O357g15aI,,R8550,7/7/2022,,3rd Floor,Room 920,18.98,
O370n29yP,C6460,R6691,2/25/2022,,Apt 1787,,,2.3
O838u90qJ,C6363,R0762,,8/14/2022,Room 1543,Apt 874,,1.6
O033j52mG,C0430,,,,PO Box 36737,,,
O083e98aR,C0051,,5/25/2022,10/3/2022,Room 456,5th Floor,,3.5
O106b14dL,C6640,,,,PO Box 88786,,26.61,1.5
O442w13uB,C5208,R3105,,,12th Floor,,,
O132d38dK,,R4648,12/4/2022,6/11/2022,PO Box 15472,Room 1575,,
O148m07bM,C2411,R0794,5/28/2022,4/4/2022,9th Floor,,,
O483m75lJ,,R9413,,,Suite 43,Apt 761,,
O989x70wT,C5130,,7/24/2022,,Suite 41,,,
O887c80tY,,R2470,,4/10/2022,Suite 68,,,
O351o45uS,C5309,,,5/6/2022,PO Box 10519,9th Floor,91.44,
O126f91oY,C9153,R4379,1/4/2022,5/29/2022,12th Floor,,23.89,
O524r40nN,,,,,Suite 92,,,
O706j25cU,C1554,R8890,,,Apt 1185,Room 1514,,
O861s75pS,,,8/9/2022,,Room 1319,7th Floor,,
O008l91cG,,,,,Apt 371,Room 355,70.26,
O312e04xK,,R6504,3/19/2022,9/8/2022,Room 235,,,
O980d91lP,C7350,,,,Room 1507,Suite 76,11.38,
O512d01dJ,C7887,,11/11/2022,1/18/2022,13th Floor,,,
O061k59kA,C8555,R2209,,,Room 1577,2nd Floor,64.85,
O105c19xG,,R9146,7/15/2022,,Room 1736,Suite 59,,
O989l61dD,,,,,Room 282,,,
O099d30fN,C7426,R5721,,,Suite 52,,,
O707q67wD,,R7762,,,Room 1718,,,1.5
O443y92eY,,R8601,11/27/2022,3/24/2022,10th Floor,Apt 209,,1.2
O101b11kI,,,4/26/2022,,Room 750,,,
O273p68hG,,,9/6/2022,,7th Floor,Apt 1033,,3.0
O994x37pM,,R8052,4/18/2022,4/22/2022,Room 562,,,2.5
O635j20wZ,,,5/27/2022,,Apt 312,17th Floor,15.29,
O906h22kF,C8467,R3273,,,Suite 87,20th Floor,,
O862a43yP,C5020,,10/6/2022,9/20/2022,PO Box 10533,,,
O579r33gZ,,R4460,,11/26/2022,Apt 1961,Suite 94,,
O737i06wQ,,R7975,12/9/2022,4/13/2022,Suite 60,Room 474,,1.6
O932u69lV,C2911,R3544,,,PO Box 14525,,,
O316r37pY,,R3143,,,Suite 20,PO Box 44078,42.25,
O772i74tP,C8550,,,,Apt 618,,,2.7
O193d91zV,,R1241,,,11th Floor,,,
O721c10hW,C8482,,,8/9/2022,Suite 29,PO Box 95630,,
O346z14bY,,R4359,4/24/2022,5/18/2022,Suite 74,6th Floor,,4.5
O835n10dZ,C6146,R1738,4/7/2022,3/7/2022,Apt 817,Apt 885,,
O274t73iJ,,R8043,11/17/2022,9/23/2022,PO Box 50044,,96.65,
O092x51xN,C4292,R5781,,,Suite 1,Suite 27,,
O840h70gM,,R6396,8/4/2022,2/8/2022,Room 1126,14th Floor,,
O647i90uA,C3456,R5699,,,Suite 57,20th Floor,,
O114y42tF,C8127,R4256,3/10/2022,5/20/2022,PO Box 11398,Suite 78,21.23,
O761l13zI,,R7638,10/7/2022,5/15/2022,Room 1058,2nd Floor,,
O020g29zD,,R0761,8/14/2022,2/14/2022,PO Box 89853,Room 1658,40.14,
O117u99xW,,,11/25/2022,,Room 1981,,,
O357a45hZ,C4297,R1693,4/29/2022,,PO Box 75409,Suite 34,20.85,
O827s44vA,C4177,R5315,,3/14/2022,Apt 1476,Suite 47,,
O226s45mX,C8636,R2529,6/19/2022,,12th Floor,,,
O966f67bN,C5776,R4359,8/2/2022,,PO Box 11070,Room 360,,2.7
O094q64iY,C2934,R9382,,,PO Box 20617,Suite 18,42.79,
O475f75nE,,R0883,1/30/2022,10/7/2022,Suite 7,Apt 1895,57.82,
O077q03yB,,R7438,,12/8/2022,Apt 63,Suite 65,,
O200t92zD,C8578,,9/7/2022,7/29/2022,Apt 628,PO Box 96913,,
O448r10mV,C8930,,1/27/2022,2/2/2022,Suite 73,,,
O070g87eD,,,,,PO Box 38230,,,
O597j57qE,,,8/16/2022,,Suite 66,,,
O551v16zQ,C0214,R3048,3/15/2022,,Apt 1339,,,
O125f03nI,,,,,13th Floor,Apt 1860,,
O955g49mR,C7542,R7375,,5/13/2022,PO Box 90256,16th Floor,,
O380k11gT,C1819,,9/7/2022,,Room 481,PO Box 9639,,
O918t88mN,,R2529,,,PO Box 44458,Room 1973,77.77,
O394p65mV,C8706,,11/25/2022,,Apt 485,,,
O200l30hS,C6557,R6296,7/22/2022,10/19/2022,5th Floor,Room 364,,
O513u03lU,C8345,,6/25/2022,,Apt 366,Apt 1359,,
O024t00aX,,,2/27/2022,,Room 1527,Apt 498,,
O991y00iD,C7524,R4838,,5/24/2022,Apt 1235,,,
O857i60wF,C1163,,8/20/2022,,17th Floor,PO Box 92926,,
O113r59xL,,,,4/25/2022,18th Floor,,,
O894c30gZ,,,12/13/2022,,Room 757,Apt 541,,
O812f51gH,,,11/11/2022,11/2/2022,Suite 85,Suite 7,18.87,
O402y62sQ,C0151,R7939,5/10/2022,,Apt 671,Room 909,,
